Current ID,Old ID
6739940,6738609
6740026,6739940
6740322,
6740337,
6740562,
6740574,
6740618,
6740639,
6740681,
6740713,6740562
6740714,
6740739,6740574
6740741,6740618
6740743,6740713
6740745,6740639
6740773,6740714
6740780,
6740786,6740745
6740793,6740780
6740810,
6740849,
6740869,
6740891,
6741446,
6741447,
6741448,6740869
6741466,6740786
6741476,
6741477,6740681
6741496,
6741501,
6741893,
6742235,
6742305,
6742409,6740773
6742589,6741466
6742698,6740743
6742812,6740810
6742835,6742812
6742864,6740849
6742915,6742864
6743031,6741448
6743061,
6743062,
6744170,
6744301,
6744316,
6744334,
6744346,
6744467,
6744509,
6744530,
6744538,
6744542,
6744544,6742589
6744684,
6744705,6744316
6745233,6744684
6745251,
6745887,
6745941,6744170
6745976,
6746025,
6746039,
6746111,
6746116,
6746339,
6746366,6746339
6747304,6744346
6747418,6744467
6747591,6745976
6747815,
6748970,
6749085,6748970
6749139,
6749152,
6749166,
6749250,
6749318,
6749395,6749139
6749400,
6749461,
6749468,
6749510,
6749516,
6749522,
6749708,
6749771,
6749894,
6750001,
6750031,
6750032,
6750035,
6750038,6750036
6750163,
6750368,
6750382,6750163
6750385,
6750395,6750368
6750400,
6750541,
6750730,
6750743,
6750797,
6750801,
6750898,
6750901,
6750966,
6750978,6750038
6750981,6750032
6750982,6750031
6751110,
6751306,6751305
6751415,6751414
6751634,6749510
6752018,
6752253,
6752448,
6752477,
6752549,
6752646,
6752711,6750797
6752811,6752705
6752813,
6752851,
6752864,
6752866,
6753082,6749395
6753139,6749250
6753199,6749318
6753318,6749468
6753324,6749085
6753329,
6753497,6751634
6753498,6749152
6753642,6749522
6753644,6749516
6753794,6753324
6753796,6750395
6753876,6750001
6753983,6749400
6754301,6753983
6754939,
6755083,
6755376,
6755710,6752711
6755739,
6755788,6755710
6755907,6750743
6755953,
6756410,
6756435,
6756521,6756435
6756588,
6756634,
6756724,
6756983,
6757022,
6757796,6755376
6757805,6757796
6757810,6756410
6757825,6756521
6757955,6756634
6757965,6755788
6758010,6756724
6758820,6754301
6758822,6757805
6760210,6758822
6760720,
6760722,
6760771,
6760893,
6760898,
6760972,
6761005,
6761006,6755953
6761010,
6761011,
6761052,
6761227,
6761233,
6761265,
6761287,
6761307,
6761326,
6761328,
6761334,
6761477,
6761499,
6761517,
6761522,
6761565,
6761573,6761307
6762303,
6762310,6761565
6762568,6761477
6762718,6761573
6762793,6760893
6762853,6760898
6762953,6760972
6762984,6760771
6763256,6761011
6763328,6761334
6763341,6760720
6763366,6761328
6763372,6760722
6763373,6763372
6763471,6762984
6763554,6763328
6763555,6763341
6763556,6763555
6763569,6763373
6763570,6763556
6764307,
6764414,
6764421,
6764424,6762718
6764534,
6764536,
6764537,6763366
6764647,
6764653,
6764665,6764652
6764668,
6764740,
6764997,
6765076,
6765093,
6765115,
6765280,
6765292,
6765293,
6765294,
6765295,
6765417,
6765474,6764536
6765475,6765417
6765476,
6765516,
6765518,
6765677,
6765812,
6765825,6761010
6765857,6765475
6765907,6765677
6766701,6765476
6766710,6764997
6766784,6765857
6767183,6765474
6767285,6764653
6767337,6765093
6768203,6765812
6768290,6768203
6768650,
6768652,
6768676,
6768975,
6768987,
6769002,
6769147,
6769157,
6769270,
6769340,
6769380,
6769384,
6769386,
6769396,
6769419,
6769425,
6769460,
6769464,
6769465,
6769468,6769456
6769837,
6769842,6765518
6769883,6769842
6769884,6769396
6770025,
6770506,6769837
6771100,6769147
6771104,6769157
6771114,6770506
6771125,6769883
6771169,6771125
6771176,6771169
6771213,6771176
6771389,6769384
6771442,6769464
6771523,6769425
6771580,6768987
6772816,6769674
6772851,6771442
6772852,
6772960,
6773011,
6773099,
6773106,
6773356,
6773589,
6773591,
6773616,
6773637,
6773661,
6773662,
6774201,
6774531,
6774600,6774201
6774650,6774626
6774757,
6774824,
6774864,
6774951,
6775117,
6775118,
6775297,
6775318,
6775444,
6775473,
6775524,
6775629,
6775638,
6775714,
6775776,
6775790,
6775803,
6775806,
6775822,
6775829,
6775832,
